Material;Database;Category;CF RMI metal ores;Unit
Aluminium;ecoinvent3.8;elementary exchanges/natural resource/in ground;5,3;kg raw material/kg material
Antimony;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,56;kg raw material/kg material
Arsenic;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Barium;ecoinvent3.8;elementary exchanges/natural resource/in ground;6,7;kg raw material/kg material
Beryllium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Cadmium;ecoinvent3.8;elementary exchanges/natural resource/in ground;735;kg raw material/kg material
Cerium;ecoinvent3.8;elementary exchanges/natural resource/in ground;42;kg raw material/kg material
Chromium;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,7;kg raw material/kg material
Cobalt;ecoinvent3.8;elementary exchanges/natural resource/in ground;115;kg raw material/kg material
Copper;ecoinvent3.8;elementary exchanges/natural resource/in ground;143;kg raw material/kg material
Dysprosium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Europium;ecoinvent3.8;elementary exchanges/natural resource/in ground;16667;kg raw material/kg material
Gadolinium;ecoinvent3.8;elementary exchanges/natural resource/in ground;6667;kg raw material/kg material
Gallium;ecoinvent3.8;elementary exchanges/natural resource/in ground;7143;kg raw material/kg material
Gold;ecoinvent3.8;elementary exchanges/natural resource/in ground;943610;kg raw material/kg material
Hafnium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Iron;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,7;kg raw material/kg material
Lanthanum;ecoinvent3.8;elementary exchanges/natural resource/in ground;139;kg raw material/kg material
Lead;ecoinvent3.8;elementary exchanges/natural resource/in ground;12;kg raw material/kg material
Lithium;ecoinvent3.8;elementary exchanges/natural resource/in ground;667;kg raw material/kg material
Magnesite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1,7;kg raw material/kg material
Magnesium;ecoinvent3.8;elementary exchanges/natural resource/in ground;7,8;kg raw material/kg material
Manganese;ecoinvent3.8;elementary exchanges/natural resource/in ground;2,8;kg raw material/kg material
Mercury;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Molybdenum;ecoinvent3.8;elementary exchanges/natural resource/in ground;981;kg raw material/kg material
Neodymium;ecoinvent3.8;elementary exchanges/natural resource/in ground;250;kg raw material/kg material
Nickel;ecoinvent3.8;elementary exchanges/natural resource/in ground;63;kg raw material/kg material
Niobium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Palladium;ecoinvent3.8;elementary exchanges/natural resource/in ground;66063;kg raw material/kg material
Platinum;ecoinvent3.8;elementary exchanges/natural resource/in ground;274186;kg raw material/kg material
Praseodymium;ecoinvent3.8;elementary exchanges/natural resource/in ground;2381;kg raw material/kg material
Pyrite;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Rhenium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Rhodium;ecoinvent3.8;elementary exchanges/natural resource/in ground;520571;kg raw material/kg material
Samarium;ecoinvent3.8;elementary exchanges/natural resource/in ground;3330;kg raw material/kg material
Scandium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Selenium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Silicon;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Silver;ecoinvent3.8;elementary exchanges/natural resource/in ground;10516;kg raw material/kg material
Spodumene;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Strontium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Tantalum;ecoinvent3.8;elementary exchanges/natural resource/in ground;6105;kg raw material/kg material
Tellurium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Terbium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Tin;ecoinvent3.8;elementary exchanges/natural resource/in ground;415;kg raw material/kg material
Titanium;ecoinvent3.8;elementary exchanges/natural resource/in ground;98;kg raw material/kg material
Tungsten;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Uranium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1000;kg raw material/kg material
Vanadium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Yttrium;ecoinvent3.8;elementary exchanges/natural resource/in ground;1;kg raw material/kg material
Zinc;ecoinvent3.8;elementary exchanges/natural resource/in ground;13;kg raw material/kg material
Zirconium;ecoinvent3.8;elementary exchanges/natural resource/in ground;53;kg raw material/kg material